,Gebiet,Total,Jahr
748,Sihlfeld,20554,2005
749,Kreis 4,26961,2005
750,Werd,3878,2005
751,Langstrasse,10368,2005
752,Hard,12715,2005
753,Kreis 5,12417,2005
754,Gewerbeschule,9690,2005
755,Escher Wyss,2727,2005
756,Kreis 6,29415,2005
757,Unterstrass,19921,2005
758,Oberstrass,9494,2005
759,Kreis 7,34148,2005
760,Fluntern,7325,2005
761,Hottingen,10100,2005
762,Hirslanden,6859,2005
763,Witikon,9864,2005
764,Kreis 8,15343,2005
765,Seefeld,4923,2005
766,Mühlebach,5577,2005
767,Weinegg,4843,2005
768,Kreis 9,45504,2005
769,Albisrieden,17226,2005
770,Altstetten,28278,2005
771,Kreis 10,36219,2005
772,Höngg,20773,2005
773,Wipkingen,15446,2005
774,Kreis 11,58275,2005
775,Affoltern,18733,2005
776,Oerlikon,19663,2005
777,Seebach,19879,2005
778,Kreis 12,28236,2005
779,Saatlen,6649,2005
780,Schwamendingen-Mitte,10322,2005
781,Hirzenbach,11265,2005
782,Kreis 1,5630,2004
783,Rathaus,3115,2004
784,Hochschulen,725,2004
785,Lindenhof,947,2004
786,City,843,2004
787,Kreis 2,28486,2004
788,Wollishofen,15499,2004
789,Leimbach,4778,2004
790,Enge,8209,2004
791,Kreis 3,45444,2004
792,Alt-Wiedikon,14551,2004
793,Friesenberg,10326,2004
794,Sihlfeld,20567,2004
795,Kreis 4,26886,2004
796,Werd,3763,2004
797,Langstrasse,10319,2004
798,Hard,12804,2004
799,Kreis 5,12397,2004
800,Gewerbeschule,9773,2004
801,Escher Wyss,2624,2004
802,Kreis 6,29288,2004
803,Unterstrass,19742,2004
804,Oberstrass,9546,2004
805,Kreis 7,33728,2004
806,Fluntern,7285,2004
807,Hottingen,9926,2004
808,Hirslanden,6806,2004
809,Witikon,9711,2004
810,Kreis 8,15310,2004
811,Seefeld,4993,2004
812,Mühlebach,5546,2004
813,Weinegg,4771,2004
814,Kreis 9,45455,2004
815,Albisrieden,17087,2004
816,Altstetten,28368,2004
817,Kreis 10,36284,2004
818,Höngg,20856,2004
819,Wipkingen,15428,2004
820,Kreis 11,57762,2004
821,Affoltern,18886,2004
822,Oerlikon,19375,2004
823,Seebach,19501,2004
824,Kreis 12,28307,2004
825,Saatlen,6697,2004
