,index,Gebiet,Total,Jahr
578,35,Hirslanden,6956,2009
579,36,Witikon,10284,2009
580,37,Kreis 8,15212,2009
581,38,Seefeld,4732,2009
582,39,Mühlebach,5545,2009
583,40,Weinegg,4935,2009
584,41,Kreis 9,47520,2009
585,42,Albisrieden,17675,2009
586,43,Altstetten,29845,2009
587,44,Kreis 10,36939,2009
588,45,Höngg,21294,2009
589,46,Wipkingen,15645,2009
590,47,Kreis 11,64612,2009
591,48,Affoltern,22383,2009
592,49,Oerlikon,20740,2009
593,50,Seebach,21489,2009
594,51,Kreis 12,29599,2009
595,52,Saatlen,7132,2009
596,53,Schwamendingen-Mitte,10857,2009
597,54,Hirzenbach,11610,2009
598,9,Kreis 1,5536,2008
599,10,Rathaus,3051,2008
600,11,Hochschulen,702,2008
601,12,Lindenhof,940,2008
602,13,City,843,2008
603,14,Kreis 2,29531,2008
604,15,Wollishofen,15794,2008
605,16,Leimbach,5185,2008
606,17,Enge,8552,2008
607,18,Kreis 3,46595,2008
608,19,Alt-Wiedikon,15727,2008
609,20,Friesenberg,10325,2008
610,21,Sihlfeld,20543,2008
611,22,Kreis 4,27354,2008
612,23,Werd,4015,2008
613,24,Langstrasse,10455,2008
614,25,Hard,12884,2008
615,26,Kreis 5,12722,2008
616,27,Gewerbeschule,9751,2008
617,28,Escher Wyss,2971,2008
618,29,Kreis 6,30757,2008
619,30,Unterstrass,20655,2008
620,31,Oberstrass,10102,2008
621,32,Kreis 7,35240,2008
622,33,Fluntern,7542,2008
623,34,Hottingen,10548,2008
624,35,Hirslanden,6967,2008
625,36,Witikon,10183,2008
626,37,Kreis 8,15315,2008
627,38,Seefeld,4863,2008
628,39,Mühlebach,5491,2008
629,40,Weinegg,4961,2008
630,41,Kreis 9,47295,2008
631,42,Albisrieden,17555,2008
632,43,Altstetten,29740,2008
633,44,Kreis 10,36686,2008
634,45,Höngg,21186,2008
635,46,Wipkingen,15500,2008
636,47,Kreis 11,64283,2008
637,48,Affoltern,22044,2008
638,49,Oerlikon,20853,2008
639,50,Seebach,21386,2008
640,51,Kreis 12,29185,2008
641,52,Saatlen,6843,2008
642,53,Schwamendingen-Mitte,10864,2008
643,54,Hirzenbach,11478,2008
644,9,Kreis 1,5607,2007
645,10,Rathaus,3079,2007
646,11,Hochschulen,698,2007
647,12,Lindenhof,954,2007
648,13,City,876,2007
649,14,Kreis 2,29421,2007
650,15,Wollishofen,15744,2007
651,16,Leimbach,5204,2007
652,17,Enge,8473,2007
653,18,Kreis 3,46108,2007
654,19,Alt-Wiedikon,15440,2007
655,20,Friesenberg,10296,2007
656,21,Sihlfeld,20372,2007
657,22,Kreis 4,27056,2007
658,23,Werd,3944,2007
659,24,Langstrasse,10310,2007
660,25,Hard,12802,2007
661,26,Kreis 5,12714,2007
662,27,Gewerbeschule,9706,2007
663,28,Escher Wyss,3008,2007
664,29,Kreis 6,30203,2007
665,30,Unterstrass,20243,2007
666,31,Oberstrass,9960,2007
667,32,Kreis 7,34843,2007
668,33,Fluntern,7455,2007
669,34,Hottingen,10284,2007
670,35,Hirslanden,6977,2007
671,36,Witikon,10127,2007
672,37,Kreis 8,15431,2007
673,38,Seefeld,4920,2007
674,39,Mühlebach,5567,2007
675,40,Weinegg,4944,2007
676,41,Kreis 9,46875,2007
677,42,Albisrieden,17527,2007
678,43,Altstetten,29348,2007
679,44,Kreis 10,36474,2007
680,45,Höngg,21075,2007
681,46,Wipkingen,15399,2007
682,47,Kreis 11,63092,2007
683,48,Affoltern,20948,2007
684,49,Oerlikon,20754,2007
685,50,Seebach,21390,2007
686,51,Kreis 12,28991,2007
687,52,Saatlen,6842,2007
688,53,Schwamendingen-Mitte,10806,2007
689,54,Hirzenbach,11343,2007
690,9,Kreis 1,5608,2006
691,10,Rathaus,3097,2006
692,11,Hochschulen,711,2006
693,12,Lindenhof,955,2006
694,13,City,845,2006
695,14,Kreis 2,28898,2006
696,15,Wollishofen,15587,2006
697,16,Leimbach,4944,2006
698,17,Enge,8367,2006
699,18,Kreis 3,45887,2006
700,19,Alt-Wiedikon,15231,2006
701,20,Friesenberg,10342,2006
702,21,Sihlfeld,20314,2006
703,22,Kreis 4,26705,2006
704,23,Werd,3865,2006
705,24,Langstrasse,10332,2006
706,25,Hard,12508,2006
707,26,Kreis 5,12722,2006
708,27,Gewerbeschule,9735,2006
709,28,Escher Wyss,2987,2006
710,29,Kreis 6,29657,2006
711,30,Unterstrass,19959,2006
712,31,Oberstrass,9698,2006
713,32,Kreis 7,34421,2006
714,33,Fluntern,7379,2006
715,34,Hottingen,10180,2006
716,35,Hirslanden,6904,2006
717,36,Witikon,9958,2006
718,37,Kreis 8,15207,2006
719,38,Seefeld,4842,2006
720,39,Mühlebach,5549,2006
721,40,Weinegg,4816,2006
722,41,Kreis 9,46143,2006
723,42,Albisrieden,17275,2006
724,43,Altstetten,28868,2006
725,44,Kreis 10,36409,2006
726,45,Höngg,21017,2006
727,46,Wipkingen,15392,2006
728,47,Kreis 11,59868,2006
729,48,Affoltern,18793,2006
730,49,Oerlikon,20318,2006
731,50,Seebach,20757,2006
732,51,Kreis 12,28537,2006
733,52,Saatlen,6695,2006
734,53,Schwamendingen-Mitte,10637,2006
735,54,Hirzenbach,11205,2006
736,9,Kreis 1,5572,2005
737,10,Rathaus,3081,2005
738,11,Hochschulen,695,2005
739,12,Lindenhof,950,2005
740,13,City,846,2005
741,14,Kreis 2,28834,2005
742,15,Wollishofen,15592,2005
743,16,Leimbach,4867,2005
744,17,Enge,8375,2005
745,18,Kreis 3,45885,2005
746,19,Alt-Wiedikon,14971,2005
747,20,Friesenberg,10360,2005
748,21,Sihlfeld,20554,2005
749,22,Kreis 4,26961,2005
750,23,Werd,3878,2005
751,24,Langstrasse,10368,2005
752,25,Hard,12715,2005
753,26,Kreis 5,12417,2005
754,27,Gewerbeschule,9690,2005
755,28,Escher Wyss,2727,2005
756,29,Kreis 6,29415,2005
757,30,Unterstrass,19921,2005
